dimension,seed,model,RMSE,R2
100,0,Ridge,1.22208772278741,-0.8939947232447532
100,0,SVR,1.2294365972392072,-0.9168418208111735
100,0,XGBoost,1.4421087687497856,-1.637363780097846
100,1,Ridge,1.2740780413800255,-1.058572012022244
100,1,SVR,1.2882833587932006,-1.1047319618549696
100,1,XGBoost,1.3682028806337836,-1.373968780272567
100,2,Ridge,1.2586039140605312,-1.0088715044058874
100,2,SVR,1.4021791087810165,-1.4933370288571068
100,2,XGBoost,1.1593558444822814,-0.7045412427390665
100,3,Ridge,1.4145224344735459,-1.53742773177206
100,3,SVR,1.5663981856079223,-2.1115611845567233
100,3,XGBoost,1.4533390234256514,-1.6786000473973952
100,4,Ridge,1.3477981216375474,-1.3036881904052535
100,4,SVR,1.0084117905266032,-0.2895845819850946
100,4,XGBoost,1.4634080094105644,-1.7158442348220344
120,0,Ridge,1.362691655040535,-1.354882244114183
120,0,SVR,1.3756346366422165,-1.3998285012949792
120,0,XGBoost,1.3160140314719635,-1.1963170953466387
120,1,Ridge,1.3237121183546185,-1.222087170519679
120,1,SVR,1.267083241110202,-1.036030577528928
120,1,XGBoost,1.377863329940496,-1.407610821028105
120,2,Ridge,1.524540087325986,-1.947485649983189
120,2,SVR,1.615992560170369,-2.311713179431496
120,2,XGBoost,1.7369439898231012,-2.8260058600922444
120,3,Ridge,1.0082697885190448,-0.2892214154537698
120,3,SVR,0.98619607883079,-0.23339034725294328
120,3,XGBoost,1.2278855819169592,-0.9120084268954054
120,4,Ridge,1.224630874042318,-0.9018856900438066
120,4,SVR,1.184312246279727,-0.7787153074170357
120,4,XGBoost,1.2166753543357125,-0.8772556670445679
